Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
59,UC,6699981.291,50037302.94,34.94232278,4534921.896,49741905,171404759.4,8.396874142,11234903.19,121367456.5
60,UC,7039346.128,49461722.07,32.18910699,6945322.13,49287636.55,230934027.5,1484.126252,13984668.26,181472305.4
61,UC,8012252.477,51070928.62,32.76535973,9848914.19,49758701.87,177682756.3,-2.284919549,17861166.67,126611827.7
62,UC,8096503.739,50491306.19,32.24786623,7491779.753,49114417.93,237799341.2,1489.527665,15588283.49,187308035
65,UC,5767354.141,48277680.08,36.66332479,6498570.687,49483866.88,172095834.9,6.014905412,12265924.83,123818154.8
66,UC,6068975.459,48321477.45,32.8357233,8451992.246,49716019.35,173683719.1,-3.287916948,14520967.7,125362241.7
67,UC,7355133.549,49406006.66,32.05401312,6717137.126,49197800.52,173533572.2,4.428570952,14072270.67,124127565.5
68,UC,7055614.537,50332635.28,33.70440487,3831999.048,49340277.24,171644445.8,10.04473987,10887613.59,121311810.5
69,UC,5778099.286,48515126.38,36.92121424,6003497.855,49384895.93,171984432.2,5.348848799,11781597.14,123469305.8
75,UC,5972069.785,49301432.42,34.53006926,5296235.122,49267398.39,172067604.3,6.856766278,11268304.91,122766171.9
76,UC,6833221.963,49665293.41,33.41969592,3949048.198,48938027.33,171285606.1,7.825841464,10782270.16,121620312.7
82,UC,5105108.208,48267528.96,36.57893333,6286790.082,49567567.2,360868484.2,4674.856492,11391898.29,312600955.2
85,UC,5581039.889,49055940.94,34.28115883,6962504.51,49653901.37,173200445.6,2.529913174,12543544.4,124144504.7
86,UC,5573253.322,48251819.88,32.66149895,8592780.142,49569880.56,173889569.3,-0.09648507,14166033.46,125637749.4
88,UC,5589646.352,49246719.22,35.316013,5525674.62,49268342.27,242810010.4,1492.286653,11115320.97,193563291.2
91,UC,5786056.295,48638657.79,33.24053192,7995594.887,49391706.99,174168307,0.89082349,13781651.18,125529649.2
92,UC,5170676.897,48786116.88,35.35373432,5383014.243,49533271.19,171306850.7,3.643668131,10553691.14,122520733.8
93,UC,5646417.478,48658999.88,34.98534721,6228957.247,49260388.86,172285557.5,3.329686136,11875374.72,123626557.6
94,UC,7019589.554,49610035.5,32.02079342,6601999.431,49274934.09,173646841.4,5.759852947,13621588.98,124036805.9
95,UC,6070965.933,48663399.98,34.63030396,7055699.356,49629930.52,172734640.6,-1.647325314,13126665.29,124071240.6
96,UC,5415043.998,47657879.73,35.4466218,6452645.927,49534641.44,171191557.2,2.524966491,11867689.92,123533677.5
98,UC,6341602.706,49305317.2,32.0850799,6713866.612,49460885.39,173365880.7,6.691888704,13055469.32,124060563.5
101,UC,5802128.926,48816257.64,34.11212063,7039686.051,49362825.04,173079257.7,6.341682061,12841814.98,124263000.1
102,UC,6743693.142,50394998.75,34.43935762,5882419.088,49462682.41,173633683.2,4.424609935,12626112.23,123238684.5
107,UC,6372079.314,49531065.75,34.06687208,7262058.564,49182616.43,174197542,3.812473023,13634137.88,124666476.3
108,UC,3017118.052,46341858.67,36.50044282,5206585.58,49185376.62,168952091.8,4.515077419,8223703.632,122610233.1
110,UC,6557814.473,49452093.64,32.47635898,9042053.384,49640400.94,175601988,-4.345270465,15599867.86,126149894.4
111,UC,9974604.665,51702873.23,31.85279222,8553994.109,49395775.62,177604116.5,2.322605403,18528598.77,125901243.3
113,UC,5865241.534,48820785.53,33.65726563,4727664.065,49125395.83,171171232.1,10.57301177,10592905.6,122350446.6
119,UC,5144097.195,48267182.91,34.23268046,8136109.666,49604965.73,173496589.9,2.413878176,13280206.86,125229407
120,UC,4213285.73,47875264.87,37.27877816,5828207.199,49082072.23,297564588.3,1492.767693,10041492.93,249689323.4
