Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
154,UC,8003975.714,92117684.1,44.55090964,6218241.275,35996597.99,280232704.3,1500.366429,14222216.99,188115020.2
159,UC,6297266.664,90672966.52,52.28204291,6550668.032,36111084.61,522334917.3,2990.739643,12847934.7,431661950.8
160,UC,4406892.04,89184890.19,58.21096015,5378259.893,35853542.42,225518477.3,19.34314118,9785151.933,136333587.1
162,UC,5710274.379,90637890.01,54.55346946,5222796.723,36118780.73,449289350.6,2995.345468,10933071.1,358651460.6
165,UC,5815123.789,90910265.8,53.72722814,6003047.982,35733693.13,480671313.7,4683.952081,11818171.77,389761047.9
166,UC,5416890.444,90346523.5,54.43783318,6120859.089,36342757.71,697773506.4,3191.178333,11537749.53,607426982.9
167,UC,6195459.645,90948406.42,56.80205752,5940964.313,36143027.33,227833238,16.79217798,12136423.96,136884831.6
168,UC,5057776.297,90075459.81,53.35026954,6781646.612,36440053.85,471896214.1,1506.918745,11839422.91,381820754.3
176,UC,5441480.316,91063634.76,55.50198874,4364581.042,35412711.48,598635562.9,3001.256998,9806061.358,507571928.1
181,UC,6090244.295,90650659.84,53.45604432,4925529.046,35930306.48,780910342.1,2995.841476,11015773.34,690259682.3
182,UC,7466794.442,91897421.3,53.62130031,5513456.51,36167702.69,365720545.7,1707.277501,12980250.95,273823124.4
184,UC,8769581.324,92745444.51,50.29983444,6019418.552,36006773.5,238600979.5,1505.869422,14788999.88,145855535
185,UC,7232299.091,91287894.01,53.16300348,6969099.716,35774113.75,271412149.6,1504.986044,14201398.81,180124255.6
186,UC,5823264.251,90802269.95,54.41362906,5911116.462,36537369.88,436347004.1,3193.361266,11734380.71,345544734.2
190,UC,5116210.099,90512459.38,55.66032584,3875303.754,35467785.68,362714350.2,4689.327137,8991513.853,272201890.8
191,UC,4772120.782,90255366.43,56.36587864,5981977.719,36088505.73,337348897,2993.729168,10754098.5,247093530.6
196,UC,7460687.682,92001980.65,53.41680197,5375844.396,36230492.72,275160557.2,1505.735898,12836532.08,183158576.6
197,UC,7241271.056,91982183.61,52.71457502,4971600.847,35706931.17,475662724.8,1508.454246,12212871.9,383680541.2
198,UC,6476020.312,91255422.41,51.19157015,7293624.078,36095740.97,476943505.9,1503.504056,13769644.39,385688083.5
199,UC,5386598.337,90770316.91,54.94601413,5386834.712,36051589.38,272734399.6,1507.756977,10773433.05,181964082.7
207,UC,7728211.221,92521402.48,52.842682,4772131.337,35979642.53,760162969.1,2994.551515,12500342.56,667641566.6
208,UC,4425436.607,89582592.57,55.22864057,6680521.785,36571700.4,601557446.7,4477.095451,11105958.39,511974854.1
210,UC,7064085.633,91354973.49,51.96119292,6833760.703,36546418.61,513144886.8,1504.33192,13897846.34,421789913.3
212,UC,6357586.011,92106453.82,51.47305629,4229025.573,35712870.33,313073416.7,3200.38377,10586611.58,220966962.9
213,UC,5643753.817,90809298.06,53.31351761,6411975.523,36298539.35,554301313.5,2990.258467,12055729.34,463492015.4
215,UC,4810843.38,89462423.62,55.1430677,6898770.111,36429379.86,1026215069,7861.126401,11709613.49,936752645.4
216,UC,5512253.096,90896070.41,56.77444623,7113220.078,36609175.25,228280419.3,12.13013615,12625473.17,137384348.9
217,UC,4813825.999,90454905.44,56.03631086,6150038.294,35933346.6,275543563.2,1508.808365,10963864.29,185088657.8
227,UC,4901449.69,90403588.16,53.84163863,4546715.591,35847996.52,446288261.7,5969.330728,9448165.281,355884673.5
228,UC,5217114.907,90014043.94,55.04960318,8939719.836,36453373.99,229223665,12.96229807,14156834.74,139209621.1
229,UC,5875761.094,90611682.01,51.10307376,4431326.693,35600572.84,558791030.4,4686.850225,10307087.79,468179348.4
230,UC,4915468.075,89521685.44,54.45756806,6997450.186,36192318.18,267382586.4,2991.211711,11912918.26,177860901
