Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
59,UC,11751731.21,52275000.33,27.55580558,14637068.85,50363461.96,183153630.3,-16.28589556,26388800.07,130878629.9
60,UC,11753405.86,52276973.98,26.667974,14633651.36,50363466.12,183152182.3,-16.28589556,26387057.23,130875208.3
61,UC,11751475.32,52574990.33,29.04347873,14375585.97,50335106.17,183220493.2,-14.66617238,26127061.29,130645502.9
62,UC,6895881.338,48331595.58,36.76103695,8192956.647,50217380.59,177512099.8,1487.553844,15088837.99,129180504.2
65,UC,7813240.502,49384878.21,36.38680726,8900233.733,50192389.7,174698533.7,-0.380537369,16713474.24,125313655.4
66,UC,6794869.675,48723653.11,37.43787391,7788993.999,50439321.2,172678349,-3.337399031,14583863.67,123954695.9
67,UC,11456714.59,51905104.39,28.89311107,13910629.22,50363464.38,182057292.3,-16.28589556,25367343.8,130152187.9
68,UC,5479163.909,48103277.59,32.84174018,6439844.171,50112825.13,747776757.9,6756.0549,11919008.08,699673480.3
69,UC,11751668.92,52204505.84,28.75769699,13986077.15,50398676.32,182396929.7,-14.37929782,25737746.07,130192423.9
75,UC,5990968.727,48114942.21,36.76382517,5722427.18,50250907.38,170191485.1,4.44376191,11713395.91,122076542.9
76,UC,6776269.392,48470635.5,36.53593081,8429513.721,50309382.61,173195789.7,-0.767119573,15205783.11,124725154.2
82,UC,6812656.856,48540782.16,38.09991697,8123389.788,50138319.82,173130875.2,1.953520222,14936046.64,124590093
85,UC,6084332.098,47861719.72,36.3357282,6180452.471,50358657.84,170288537.4,2.851659083,12264784.57,122426817.7
86,UC,6897972.323,48410636.57,37.49328357,7937943.543,50336235.99,172617367.2,-0.298569374,14835915.87,124206730.6
88,UC,5240223.108,47116295.39,36.70897997,5287911.139,50249162.94,168780106.9,0.828171248,10528134.25,121663811.5
91,UC,6337166.795,47963461.98,34.9221801,7376792.308,50222673.37,171722604,-3.00581349,13713959.1,123759142
92,UC,6232203.389,47235480.2,31.82234784,8736209.794,50394075.04,172182638,-4.981789059,14968413.18,124947157.8
93,UC,7377917.587,49902639.33,29.96846876,11430114.3,49975024.42,1507846864,8441.846373,18808031.89,1457944225
94,UC,9903295.581,50452233.93,27.78426381,11654369.13,50215392.35,310790213.5,1675.529762,21557664.71,260337979.6
95,UC,10993767.95,51524265.77,27.93131523,11237958.39,50231173.48,179136073.7,-5.005235843,22231726.35,127611808
96,UC,7549304.16,49714781.13,29.3817609,10125032.4,49977508.41,1500824746,8442.170964,17674336.56,1451109965
98,UC,7376986.54,50278032.06,31.85834867,11288565.06,49945282.55,1576385566,6749.757063,18665551.6,1526107534
101,UC,10177904.91,50860317.36,29.35263262,10313965.73,50301899.99,531089017.9,1676.974986,20491870.64,480228700.5
102,UC,10550980.6,51275390.42,26.59922851,13822783.23,50375002.59,181328194.1,-13.98983154,24373763.83,130052803.7
107,UC,10574934.64,51527760.85,25.94039557,14441912.62,50200134.15,182374562.4,-14.59413602,25016847.25,130846801.5
108,UC,6518128.599,48813747.91,32.67482054,7541336.218,50291772.37,172668334.8,-3.418664262,14059464.82,123854586.9
110,UC,7840709.421,49549974.91,28.92577982,12022503.21,50207523.38,212390393.5,1674.104374,19863212.63,162840418.6
111,UC,10178635.14,50832570.81,27.47125725,11845758.9,50192693.02,251888023.3,1676.853984,22024394.05,201055452.4
113,UC,10145369.02,50907808.32,28.16248719,12160385.93,50259947.86,179413269.4,-13.65261792,22305754.95,128505461.1
119,UC,7423163.558,50244405.98,32.30576392,9824920.588,49865184.42,1944186702,7073.00342,17248084.15,1893942296
120,UC,7377107.897,50236724.61,31.24261012,10861766,49872453.74,1616095972,7068.386113,18238873.9,1565859248
