Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
154,UC,7764005.716,89529285.45,48.83506729,7003569.49,37460400.1,590649353.3,2986.700714,14767575.21,501120067.8
159,UC,7144523.797,90417612.59,52.47933138,5062369.628,35965589.83,492166430.2,6428.62618,12206893.42,401748817.6
160,UC,4.62E-11,89838671.27,65.8456329,582835.0148,34380231.32,3717101528,21433.33333,582835.0148,3627262857
162,UC,5660159.789,88124913.65,50.67225613,7507674.692,37642124.77,246395082.2,1404.602794,13167834.48,158270168.6
165,UC,7958119,91321053.67,51.19639433,9428892.155,37504909.66,229901340.4,12.2475182,17387011.15,138580286.7
166,UC,7783267.594,90968212.49,51.94959821,7879298.506,37213368.44,228290446.7,14.83233581,15662566.1,137322234.3
167,UC,4917374.282,87458978.95,53.20583358,6636584.964,37427869.07,223339741.4,13.66302984,11553959.25,135880762.5
168,UC,7673626.227,90114473.41,52.05617323,7534065.623,37377872.71,226926970.5,15.42571533,15207691.85,136812497.1
176,UC,8594639.493,90806488.95,49.39169252,9249165.6,37626794.81,229088099.4,10.28610855,17843805.09,138281610.5
181,UC,4366237.402,88032590.33,55.86013037,3161572.713,36461298.5,1114270378,6104.766102,7527810.115,1026237788
182,UC,-4.63E-10,89818136.63,66.38699707,406025.3769,34609186.89,2343417163,16118.18767,406025.3769,2253599026
184,UC,-6.30E-10,89569101.9,65.4568682,230887.937,34409818.77,2007354889,20242.86507,230887.937,1917785787
185,UC,258598.4657,87963254.46,62.82421426,1934194.482,35865813.8,1433756810,12348.19862,2192792.948,1345793555
186,UC,217278.5754,88102541.48,63.61652901,1207797.758,35106841.91,1506960613,12194.03068,1425076.333,1418858071
190,UC,-4.55E-10,88593900.5,66.50594852,529207.3643,35315120.49,3313268441,21732.04812,529207.3643,3224674541
191,UC,2625384.88,89239585.54,58.05642217,2641540.628,36157750.51,1610505742,10320.35732,5266925.507,1521266157
196,UC,337597.2305,88149326.41,67.07369464,1823796.5,35764399.99,382090251.3,7306.793487,2161393.73,293940924.9
197,UC,454985.1511,88161411.6,62.38609418,193814.2399,35040202.3,1355682082,14966.8483,648799.391,1267520670
198,UC,-9.41E-10,89738019.55,65.76429283,272692.9013,34528446.85,2040572823,13887.87753,272692.9013,1950834804
199,UC,629821.8186,88422563.45,63.51265857,1292509.824,35734726.95,481057032.9,4493.307436,1922331.643,392634469.5
207,UC,-8.13E-10,90284529.76,65.90161368,93224.50709,34429569.95,3278731623,19038.29678,93224.50709,3188447094
208,UC,771275.9577,88672791.26,62.54237175,1319103.496,35821992.05,1238378959,7667.680656,2090379.454,1149706168
210,UC,986672.0163,88185121.22,61.82285224,3923783.027,36286415.9,1251594718,8625.233721,4910455.044,1163409597
212,UC,9198232.205,92395057,48.4334478,9052124.503,36898872.92,589252263.4,3491.19214,18250356.71,496857206.4
213,UC,1102727.242,88450197.05,60.86365681,1806277.025,35663651.53,2268950378,14083.44969,2909004.268,2180500181
215,UC,2386748.433,88327068.31,58.13501582,4149215.259,35890782.85,415749212.4,6106.651521,6535963.692,327422144.1
216,UC,3418793.268,88012433.03,58.29681945,3657434.796,37426011.22,220914524.5,15.79940581,7076228.064,132902091.5
217,UC,2523286.071,87843162.9,59.89353686,4115637.989,36717580.93,525078781.9,5969.077009,6638924.06,437235619
227,UC,1658395.648,88394295.95,61.67772508,4279862.29,36338738.44,2266355892,14078.94172,5938257.938,2177961596
228,UC,4517932.935,89965648.88,56.64290407,5150642.994,36449315.69,3226115417,15769.12313,9668575.929,3136149768
229,UC,11686765.6,93405826,46.23864334,11709834.31,37688666.24,234083298.3,8.519555574,23396599.91,140677472.3
230,UC,5138635.925,89959260.83,56.77512965,6099348.288,36612860.15,226102053.2,17.09843952,11237984.21,136142792.3
