Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
59,UC,11753561.56,52236492.87,27.28691087,14431911.09,50112478.22,182589545.9,-17.22099639,26185472.66,130353053
60,UC,11404557.94,52012074.81,27.73991607,12563744.16,50125320.03,180484119.1,-14.63822024,23968302.09,128472044.3
61,UC,11588828.08,52038838.3,28.16059497,13502140.24,50123187.21,181451411.5,-16.56178025,25090968.31,129412573.2
62,UC,6776940.948,48955176.14,29.74424881,9944506.401,49722359.69,175210943.1,-9.294230082,16721447.35,126255767
65,UC,5920197.815,48398651.41,38.20974836,6873797.932,49876557.76,171429511.8,0.354226552,12793995.75,123030860.4
66,UC,4360145.261,47804358.98,37.99958963,7472126.924,49380849.94,1629481655,8450.502338,11832272.19,1581677296
67,UC,11279048.19,51721965.42,27.78650309,14617595.34,50112477.22,182260703.7,-17.22099639,25896643.54,130538738.3
68,UC,5364974.028,47416628.17,33.21056706,7387522.12,49995078.8,170842691.7,-4.002055924,12752496.15,123426063.5
69,UC,11752285.77,52276476.69,26.51680947,14614929.13,50112478.49,182812547.5,-17.22099639,26367214.9,130536070.8
75,UC,1571958.146,43590166.36,47.17675333,2048575.991,49885913.06,244743385.7,3393.859109,3620534.137,201153219.3
76,UC,396974.9663,45107164.18,44.88274677,4127950.225,49647441.01,1605340371,8454.713084,4524925.192,1560233207
82,UC,6554509.199,50395240.17,34.24625183,8076133.222,49348760.83,1334165550,8449.892569,14630642.42,1283770310
85,UC,7390317.752,50406208.58,31.725348,10269037.01,49465092.6,1654984068,8445.682626,17659354.76,1604577859
86,UC,6420043.036,48617767.96,37.71667542,7059800.997,49820567.06,171890622.1,1.233746709,13479844.03,123272854.1
88,UC,2015041.509,47331734.16,42.24834846,3696779.27,49306380.58,1721483459,8463.538412,5711820.779,1674151725
91,UC,5199510.703,46860641.96,30.96154774,4753264.022,49914426.09,351435408.4,3378.859855,9952774.725,304574766.4
92,UC,8416537.337,49240130.06,30.17243146,10032815.01,50141033.04,175165532.2,-11.64790314,18449352.34,125925402.1
93,UC,8846383.577,50718611.05,29.90123544,12021830.05,49748314.55,1129439498,6748.32072,20868213.63,1078720887
94,UC,11759355.15,52278349.15,26.78493491,14617506.64,50112481.78,182816994.2,-17.22099639,26376861.79,130538645.1
95,UC,11751718.17,52218996.65,27.61715219,12053691.65,50142875.75,180177022,-9.433545885,23805409.83,127958025.4
96,UC,1251168.362,46960716.17,45.95673784,185490.0987,49248861.09,1581524519,9958.480818,1436658.461,1534563803
98,UC,3240916.853,47578655.08,41.42985626,2417726.217,49680179.08,196086426.3,1701.010995,5658643.07,148507771.2
101,UC,11753427.37,52276496.49,27.21222802,14515786.1,50112478.05,182713424.7,-17.22099639,26269213.47,130436928.2
102,UC,9356311.396,49902659.21,30.15073265,11873886.04,50179453.99,177630711.5,-14.19338503,21230197.44,127728052.3
107,UC,9735516.751,50699281.43,26.70534708,11689497.48,50036078.7,178386320.4,-14.31530727,21425014.23,127687039
108,UC,4400594.905,46449902.52,37.05087362,8206181.918,50042954.15,170646750.5,-3.318476582,12606776.82,124196848
110,UC,6524237.995,48414367.73,31.80767119,10322275.15,50096683.46,174673579.6,-8.40027409,16846513.14,126259211.9
111,UC,9077996.717,50179329.27,30.87226372,12850908.85,50116495.75,178947362.6,-11.74078721,21928905.56,128768033.3
113,UC,11757185.55,52256304.25,27.98541608,14244311.5,50120659.61,182413576.3,-16.85274251,26001497.05,130157272.1
119,UC,6790032.636,48345691.7,35.37813823,8185578.526,50134552.55,172430337.9,-4.630818953,14975611.16,124084646.2
120,UC,4300613.296,47388314.76,36.65986569,7488393.105,49796102.25,171114225.8,-3.879976528,11789006.4,123725911
