Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
154,UC,7028651.106,89159513.19,50.21592149,5481868.892,37032891.78,312058261.4,4371.963936,12510520,222898748.2
159,UC,7137333.632,90565907.06,51.61748201,8312867.608,37116718.98,227858855.4,12.76332686,15450201.24,137292948.3
160,UC,66992.76454,89374837.14,65.30362131,473152.5074,33960967.51,2695569662,16520.58551,540145.2719,2606194825
162,UC,7986813.714,90864491.73,52.30304775,8790748.309,37070932.78,228667635.6,13.4283521,16777562.02,137803143.9
165,UC,4828526.23,90261300.08,58.40588108,5225936.594,36588835.23,612040805.2,4478.84541,10054462.82,521779505.1
166,UC,1802414.305,87951859.16,60.76000454,3283229.647,36595512.55,2400896279,8614.49268,5085643.952,2312944420
167,UC,7674599.455,89931951.98,51.17971559,9190903.295,37481218.94,227728477.5,7.696483517,16865502.75,137796525.5
168,UC,5645512.344,87470993.64,49.66398097,5961535.762,37362197.58,222153660.2,10.67997529,11607048.11,134682666.6
176,UC,8925098.2,92115060.28,49.57350016,8662589.411,37384654.77,229476838.5,9.196015515,17587687.61,137361778.2
181,UC,1362600.449,89881396.93,62.95678517,1178671.083,34608312.89,1812628323,14941.28762,2541271.532,1722746926
182,UC,-9.63E-10,91612715.51,66.51288775,73060.45205,33615685.75,3755862732,22675.32234,73060.45205,3664250016
184,UC,1.31E-10,90943864.09,66.75082333,73060.45205,33792026.69,2492350436,16722.18886,73060.45205,2401406572
185,UC,394515.3364,87596991.04,62.36444145,1169081.357,35598646.26,352979115.6,5198.382662,1563596.693,265382124.6
186,UC,183711.7971,88416408.88,62.64831095,339276.0079,35146145.01,1192454847,14172.47101,522987.805,1104038438
190,UC,3396627.45,87796615.22,60.74604545,3217950.366,36775082.78,220340501.5,17.46714422,6614577.816,132543886.3
191,UC,1035177.015,89601566.38,62.71058532,1638119.098,34501071.51,705440490.5,4493.708528,2673296.113,615838924.1
196,UC,2055878.568,89394029.81,60.14798762,2148718.796,35615007.84,355159344.4,3043.190207,4204597.364,265765314.6
197,UC,70883.01011,87234832.59,65.46169169,109784.0381,35444043.16,1834888114,14827.29135,180667.0482,1747653281
198,UC,4.09E-10,88618370.03,69.0512182,73060.45205,34532172.02,785931909.2,11450.09396,73060.45205,697313539.2
199,UC,2820361.851,89135684.75,60.69834802,3803344.538,35807272.35,1840917310,11198.11766,6623706.389,1751781625
207,UC,-3.81E-10,91524432.93,67.36649573,73060.45205,33631692.13,3770073984,19699.53486,73060.45205,3678549551
208,UC,3283773.407,87455950.73,51.72268998,6214226.391,36808638.49,333551344.6,3398.211383,9497999.798,246095393.9
210,UC,6937261.86,91015332.6,52.22695728,8290392.474,37052516.75,228338506.3,11.43972746,15227654.33,137323173.7
212,UC,4340537.927,88270029.72,55.00618977,3150320.565,36461136.74,221051833.8,21.97341523,7490858.492,132781804.1
213,UC,2209908.164,87825113.74,61.27837077,3075928.103,36213682.03,569552252.5,4731.585769,5285836.267,481727138.8
215,UC,3680354.967,88605840.31,57.61130324,4820601.749,36174101.06,1917655424,14818.08341,8500956.716,1829049584
216,UC,4896549.059,90555533.08,58.46985678,8006432.373,37146304.55,227500443.7,12.5370442,12902981.43,136944910.6
217,UC,6915088.389,89713503.65,51.75791931,8568343.452,36945569.07,370312628.2,2672.256764,15483431.84,280599124.6
227,UC,808636.6105,88465862.8,60.77069207,4525342.777,35564959.8,3123108322,16713.85174,5333979.388,3034642459
228,UC,6227366.914,89309884.96,48.73344792,8142567.326,37230541.32,226310217.2,11.66292587,14369934.24,137000332.2
229,UC,10849612.49,92495478.78,46.03434447,11751671.21,37515925.01,232814553.4,7.603520549,22601283.7,140319074.6
230,UC,4069499.003,90755114.83,58.28820233,4040788.87,35617652.43,274710933.2,1510.531269,8110287.873,183955818.4
