Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,osw_zone1,osw_zone2,osw_zone3,osw_zone4,osw_zone5,LOAD
1344,2,1,57,5539.421761,7510.612739,9773.964288,10802.12811,13079.32489,1944.757207,6175.465079,5672.540097,21731.99654,0,0,0,0,0,82230.21071
1345,2,2,57,5585.052692,7617.66295,9631.768109,11112.23247,13396.20088,1958.932405,6384.380375,5827.539607,22161.95408,0,0,0,0,0,83675.72357
1346,2,3,57,5801.090993,7960.996824,9618.647999,11819.40286,14226.60144,2042.216864,6880.658385,6193.576996,23507.32978,0,0,0,0,0,88050.52214
1347,2,4,57,6197.947942,8502.619134,9864.433644,12660.05702,15627.67772,2168.497737,7503.266716,6817.628065,25485.84624,0,0,0,0,0,94827.97422
1348,2,5,57,6392.557267,8806.944445,10506.99099,13039.32116,16675.82577,2266.966824,7870.66836,7191.307758,26500.70591,0,0,0,0,0,99251.28848
1349,2,6,57,6495.030157,8966.45277,11273.95315,12961.11012,17383.36076,2340.431133,8111.901921,7394.101253,26408.85259,0,0,0,0,0,101335.1938
1350,2,7,57,6548.777974,8991.228648,11608.78141,12783.72362,17783.93688,2325.446552,8065.234272,7482.530912,26219.19544,0,0,0,0,0,101808.8557
1351,2,8,57,6534.190844,9009.590683,11633.11331,12583.02862,17995.71504,2339.831864,7913.202524,7508.89154,25905.29289,0,0,0,0,0,101422.8573
1352,2,9,57,6490.884739,8921.655839,11606.33368,12259.15421,18025.07485,2323.466108,7772.213041,7439.110342,25337.92286,0,0,0,0,0,100175.8157
1353,2,10,57,6362.83868,8826.296179,11587.68646,11902.36132,18095.85075,2308.763,7608.428234,7361.296911,24813.69127,0,0,0,0,0,98867.21281
1354,2,11,57,6298.320803,8767.11374,11468.10601,11582.73709,18115.39492,2307.025745,7560.986954,7304.763645,24320.43985,0,0,0,0,0,97724.88877
1355,2,12,57,6249.88725,8676.996002,11340.85395,11428.37312,18013.76614,2251.276152,7443.657926,7178.114423,23882.96849,0,0,0,0,0,96465.89346
1356,2,13,57,6197.790112,8558.047579,11262.19275,11375.99433,17932.96603,2237.999263,7370.839372,7084.283673,23409.61754,0,0,0,0,0,95429.73066
1357,2,14,57,6212.552269,8545.685096,11150.99484,11706.57814,18033.89764,2244.982101,7417.144378,7097.181905,23365.35635,0,0,0,0,0,95774.37272
1358,2,15,57,6290.297634,8607.631784,11054.22165,12269.69866,18440.83243,2262.082904,7712.837015,7220.431699,23740.3446,0,0,0,0,0,97598.37839
1359,2,16,57,6578.700556,8902.804412,11129.46165,13123.71399,18809.65449,2327.33557,8009.301902,7346.34789,24825.49353,0,0,0,0,0,101052.814
1360,2,17,57,6620.434724,8990.439281,11451.90697,13266.62031,18506.45309,2325.861288,8017.693542,7243.471789,25587.58842,0,0,0,0,0,102010.4694
1361,2,18,57,6587.403466,8844.01689,11894.20672,13136.06497,17962.44448,2305.164175,7806.972631,7094.396709,25503.69719,0,0,0,0,0,101134.3672
1362,2,19,57,6435.369137,8667.973118,11767.25285,12952.55701,17280.19002,2249.759371,7577.666422,6862.817342,25170.06256,0,0,0,0,0,98963.64783
1363,2,20,57,6249.154393,8381.618096,11559.42145,12569.40009,16431.08851,2153.962599,7284.48454,6559.222871,24403.70379,0,0,0,0,0,95592.05634
1364,2,21,57,6035.556375,8028.600239,11317.52497,12160.28198,15565.92279,2082.135298,6967.350457,6261.502841,23488.79981,0,0,0,0,0,91907.67476
1365,2,22,57,5878.555548,7691.792256,10779.01176,11847.37851,14808.38995,2006.211408,6717.830229,6031.532103,22816.85739,0,0,0,0,0,88577.55915
1366,2,23,57,5730.289616,7520.096727,10234.22295,11695.62789,14390.5913,1961.129682,6582.528816,5913.262836,22513.31502,0,0,0,0,0,86541.06483
1367,2,24,57,5708.472436,7458.246313,9831.001967,11655.59447,14140.70094,1960.551188,6513.137369,5861.938698,22432.54553,0,0,0,0,0,85562.1889
1368,2,1,58,5767.521025,7403.147612,9586.517708,11732.07311,13991.33943,1940.160589,6516.033642,5837.382326,22500.42889,0,0,0,0,0,85274.60433
1369,2,2,58,5797.623671,7460.543855,9409.176924,11901.95102,14030.63714,1965.642558,6597.502488,5873.901489,22760.56182,0,0,0,0,0,85797.54097
1370,2,3,58,5907.570174,7587.69247,9336.691582,12172.47361,14299.30004,1979.869963,6775.822675,6002.148721,23333.25278,0,0,0,0,0,87394.82201
1371,2,4,58,6061.833257,7822.603192,9431.975494,12551.13331,14701.53203,2049.565946,6982.955346,6211.476411,24143.47843,0,0,0,0,0,89956.55341
1372,2,5,58,6165.745268,7915.904338,9675.210331,12880.46223,15033.54042,2102.489149,7204.174572,6401.752777,24610.81065,0,0,0,0,0,91990.08973
1373,2,6,58,6185.111689,8039.548361,9975.277504,12918.31542,15286.81839,2165.780393,7442.158698,6587.010813,24750.0525,0,0,0,0,0,93350.07377
1374,2,7,58,6158.926685,8146.887802,10176.90331,12735.16278,15230.62294,2199.268789,7443.708775,6657.922347,24424.45036,0,0,0,0,0,93173.85378
1375,2,8,58,6085.896786,8107.334884,10365.11342,12547.07105,15077.53164,2204.463409,7310.477285,6639.241965,24073.82803,0,0,0,0,0,92410.95846
1376,2,9,58,5979.139799,8055.966237,10459.96801,12191.11393,14875.10376,2187.354893,7055.737719,6539.004536,23444.23845,0,0,0,0,0,90787.62734
1377,2,10,58,5899.345365,8035.70132,10481.2134,11842.38717,14763.40322,2153.768525,6900.793982,6420.303145,22853.80191,0,0,0,0,0,89350.71804
1378,2,11,58,5799.154568,7892.372926,10444.28577,11556.70611,14583.6204,2133.372677,6751.833858,6322.119365,22325.53942,0,0,0,0,0,87809.0051
1379,2,12,58,5711.858839,7764.755963,10304.59408,11311.10532,14570.43709,2091.091019,6642.525997,6320.136538,21749.13556,0,0,0,0,0,86465.6404
1380,2,13,58,5660.96237,7683.428997,10103.77895,11246.05016,14826.80743,2110.462465,6663.214662,6339.640338,21444.0575,0,0,0,0,0,86078.40288
1381,2,14,58,5723.308391,7717.008792,9975.516561,11422.68105,15336.44128,2103.030661,6797.69339,6474.701185,21518.29661,0,0,0,0,0,87068.67792
1382,2,15,58,5830.901178,7840.431257,9963.100506,11959.30689,16040.92973,2130.476048,7107.817854,6619.634185,21885.17531,0,0,0,0,0,89377.77297
1383,2,16,58,6097.642549,8151.081131,10088.25492,12736.26418,16846.06597,2183.836663,7547.411058,6832.467002,22951.85724,0,0,0,0,0,93434.88072
1384,2,17,58,6184.732224,8341.198274,10400.98972,12979.79089,16846.06537,2201.844803,7656.91434,6842.783517,23952.1253,0,0,0,0,0,95406.44444
1385,2,18,58,6199.886304,8298.846191,10939.73041,12977.63165,16637.32512,2172.044558,7640.182288,6747.821173,24013.62431,0,0,0,0,0,95627.09201
1386,2,19,58,6101.486491,8173.70905,10918.55122,12848.99153,16261.61572,2123.256124,7501.732977,6591.993478,23740.37538,0,0,0,0,0,94261.71196
1387,2,20,58,5983.579041,7925.186656,10805.24896,12539.74082,15663.59993,2064.040854,7285.921402,6331.55393,23263.21155,0,0,0,0,0,91862.08314
1388,2,21,58,5863.44603,7634.733923,10611.49076,12254.3943,14957.26661,1999.412298,7010.476925,6076.331408,22686.72203,0,0,0,0,0,89094.27427
1389,2,22,58,5703.34126,7426.803457,10215.32271,12016.28576,14343.47726,1937.360568,6738.938366,5882.538599,22121.34381,0,0,0,0,0,86385.4118
1390,2,23,58,5645.345757,7303.948196,9808.170993,11852.20304,13888.34007,1908.143463,6562.470452,5752.035543,21760.76655,0,0,0,0,0,84481.42406
1391,2,24,58,5586.161513,7277.838508,9486.712206,11791.51059,13613.94331,1891.189523,6458.637843,5687.112892,21782.10203,0,0,0,0,0,83575.20841
1392,2,1,59,5609.871872,7232.756183,9316.246869,11778.57906,13466.22367,1883.629769,6442.771604,5661.785919,21835.60426,0,0,0,0,0,83227.46921
1393,2,2,59,5668.297832,7271.2726,9174.732654,11907.77776,13484.03704,1893.11888,6472.53728,5692.906883,22081.99425,0,0,0,0,0,83646.67518
1394,2,3,59,5693.140454,7338.461204,9101.7432,12167.38313,13676.04928,1916.662286,6641.436855,5797.024322,22543.17098,0,0,0,0,0,84875.0717
1395,2,4,59,5879.105657,7479.537957,9167.811073,12520.95002,13996.28229,1960.396177,6838.806722,5979.548673,23216.23351,0,0,0,0,0,87038.67207
1396,2,5,59,5932.121988,7594.149987,9299.642253,12726.0098,14327.84696,2015.727554,6961.691161,6174.90861,23769.8011,0,0,0,0,0,88801.89941
1397,2,6,59,5968.113147,7730.831819,9407.47052,12630.89758,14861.39898,2071.938807,6993.485676,6382.13636,24059.0791,0,0,0,0,0,90105.35199
1398,2,7,59,5952.901329,7726.424324,9502.188171,12446.85201,15226.33185,2089.408131,6963.886421,6433.141634,23793.0403,0,0,0,0,0,90134.17416
