Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,osw_zone1,osw_zone2,osw_zone3,osw_zone4,osw_zone5,SOLAR
1344,2,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,2,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,2,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,2,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,2,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,2,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,2,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,2,8,57,0,0,15.00646593,0,0.643134257,0,0,0,0,0,0,0,0,0,15.64960019
1352,2,9,57,11.14766059,52.09387452,100.7576991,6.714088361,35.01531046,65.81449208,9.208235896,1.929402671,166.8556179,0,0,0,0,0,449.5363816
1353,2,10,57,34.72924928,132.914413,142.3470422,30.6790406,49.1597125,153.3792986,10.0852109,8.57512316,463.5228274,0,0,0,0,0,1025.391918
1354,2,11,57,47.80631294,145.5627232,140.6320269,43.99038724,156.2349663,235.645906,21.70512846,13.72019802,537.5282249,0,0,0,0,0,1342.825874
1355,2,12,57,122.8386418,138.7026234,131.6281483,82.4721946,162.4512915,171.6592157,60.73050955,43.73312828,609.9573692,0,0,0,0,0,1524.173122
1356,2,13,57,163.3561019,130.5562589,125.4111744,78.0268077,200.3428613,177.5565592,51.52227448,77.39048856,595.5303982,0,0,0,0,0,1599.692925
1357,2,14,57,179.8632158,127.9837166,127.9837166,51.82818351,186.7105276,210.7787485,60.5112654,84.03620665,659.4375735,0,0,0,0,0,1689.133154
1358,2,15,57,172.7887343,133.5575517,135.2725671,46.84055638,190.9812051,245.6164475,65.99235631,75.46108509,684.130421,0,0,0,0,0,1750.640925
1359,2,16,57,168.7155473,141.9182916,138.0594846,42.90858251,125.9620655,278.739112,42.75252445,53.16576391,712.5273965,0,0,0,0,0,1704.748768
1360,2,17,57,310.4194619,141.0607775,115.3354064,22.18351349,118.3488672,267.8828716,18.63571595,104.8308814,744.363644,0,0,0,0,0,1843.06114
1361,2,18,57,275.0470799,92.82570993,39.87432453,28.40413577,24.75164482,140.2383053,5.04260545,56.59581382,503.7704495,0,0,0,0,0,1166.550069
1362,2,19,57,0,4.930695937,0,0,0,0,0,0,82.10680638,0,0,0,0,0,87.03750231
1363,2,20,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,2,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,2,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,2,23,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,2,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,2,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,2,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,2,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,2,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,2,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,2,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,2,7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,2,8,58,0,0,14.79208741,3.226805484,51.20958911,0,0,0,0,0,0,0,0,0,69.228482
1376,2,9,58,326.2834467,53.80889627,71.81665986,381.5753108,603.2333932,149.6131533,185.4801862,90.2531741,397.8836632,0,0,0,0,0,2259.947884
1377,2,10,58,535.9452223,135.7013305,118.979838,575.1237946,864.3844164,265.3520604,279.3164902,134.415053,922.3468973,0,0,0,0,0,3831.565103
1378,2,11,58,547.950381,145.3483351,134.2006777,582.6598856,865.0802119,276.1826201,283.2628916,136.9875952,998.0612298,0,0,0,0,0,3969.733828
1379,2,12,58,522.0106346,139.7745128,78.67675967,553.7279354,815.2842469,260.4374144,266.1618668,129.055606,912.2299425,0,0,0,0,0,3677.358919
1380,2,13,58,500.7871964,130.7706342,84.6793454,532.3526674,779.9772087,247.2519107,256.2959091,123.481771,852.3538635,0,0,0,0,0,3507.950506
1381,2,14,58,504.2172399,119.8373521,107.4034172,532.777418,785.7963178,247.2519107,260.2422843,124.339285,896.950513,0,0,0,0,0,3578.815738
1382,2,15,58,528.2276084,131.6281483,105.9027708,553.7141785,819.7773269,260.6518025,274.2738844,130.7706342,925.3230625,0,0,0,0,0,3730.269416
1383,2,16,58,552.0235632,138.4882481,84.46496369,572.9451042,849.0325725,273.8469366,285.2360727,135.9157058,914.68451,0,0,0,0,0,3806.637677
1384,2,17,58,527.5844569,115.5497818,114.4778924,542.7182994,787.6329738,263.0099566,269.4505194,127.1262026,874.9851288,0,0,0,0,0,3622.535212
1385,2,18,58,267.1150907,78.03362092,40.94621393,286.9210198,341.2248235,137.9218758,130.6692509,57.23894618,603.6565477,0,0,0,0,0,1943.727389
1386,2,19,58,0,7.288855245,0,0,0,0,0,0,75.46108669,0,0,0,0,0,82.74994193
1387,2,20,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,2,21,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,2,22,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,2,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,2,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,2,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393,2,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,2,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,2,4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396,2,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,2,6,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,2,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,2,8,59,0,0,7.503232965,0,24.03523547,0,0,0,0,0,0,0,0,0,31.53846843
1400,2,9,59,52.95138779,0.428756188,72.67416755,30.18557468,197.9300898,132.0437833,10.0852109,77.17611324,16.72289382,0,0,0,0,0,590.1979773
1401,2,10,59,224.4538518,8.146366923,122.1955062,67.59865152,424.2840494,234.0125225,163.7750569,88.75252767,83.65399621,0,0,0,0,0,1416.872529
1402,2,11,59,182.650127,12.21955078,126.0543132,108.0212928,573.1089306,265.9727285,234.5907863,87.89501359,156.3109791,0,0,0,0,0,1746.823722
1403,2,12,59,236.0302694,14.36333197,107.6177925,170.9628499,644.333144,211.0926362,215.9550622,83.39307429,232.8262215,0,0,0,0,0,1916.574382
1404,2,13,59,243.9622554,13.5058195,57.23894618,208.8170872,578.5660866,177.2016338,245.9914434,73.10292458,208.3171183,0,0,0,0,0,1806.703315
1405,2,14,59,205.1598299,12.64830702,88.32377063,175.4838363,605.2804568,182.4155162,260.0230434,119.4085887,307.672358,0,0,0,0,0,1956.415707
1406,2,15,59,278.0483759,28.51228543,40.30307838,207.4240282,558.5319934,171.7665379,253.6649791,127.1262026,361.8898283,0,0,0,0,0,2027.267309
1407,2,16,59,258.1112121,23.36721057,6.645720489,162.5539941,434.7907342,85.24794641,135.2733685,102.9014779,344.9163514,0,0,0,0,0,1553.808016
1408,2,17,59,259.6118521,9.003879398,5.359452175,113.9938498,293.3565674,68.47900487,95.59026061,70.95914579,146.8150516,0,0,0,0,0,1063.169064
