Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,osw_zone1,osw_zone2,osw_zone3,osw_zone4,osw_zone5,onsh_WIND
1344,2,1,57,1142.948177,480.0526503,382.5784847,329.5954408,460.947304,685.5943029,239.384657,469.7558262,1057.932374,14994.15058,14994.76099,14994.82679,0,0,5248.789216
1345,2,2,57,1120.103365,434.7815483,361.9398842,250.049103,608.0637308,676.0958424,266.9713094,539.1021732,947.6846293,8668.078514,14994.37358,14994.82683,0,0,5204.791586
1346,2,3,57,1082.417352,406.822262,330.0630724,225.6665681,751.9059013,647.3338695,334.7451977,455.367803,907.1620378,12610.30367,14994.11739,14994.82688,0,0,5141.484064
1347,2,4,57,1086.259515,429.9752949,260.2044862,314.9788402,946.1122403,647.0034254,304.3676174,474.9832753,769.0281123,14994.76178,14994.27601,14994.82738,0,0,5232.912807
1348,2,5,57,1081.196572,464.1172703,212.8172458,431.7790094,1061.530506,655.3335462,344.0176411,439.7633189,740.9983545,14994.75886,14994.79324,14994.82709,0,0,5431.553464
1349,2,6,57,971.8210146,508.2181678,171.9852561,384.7977103,1214.104168,657.0680292,270.7901246,432.6696949,661.7503075,14994.76041,14994.76049,14994.82679,0,0,5273.204473
1350,2,7,57,934.0043603,493.47494,147.4319663,436.3846806,1240.216259,620.1013386,256.7546825,442.636913,553.0837687,14994.76106,14994.76233,14995.84664,0,0,5124.088909
1351,2,8,57,866.5422483,467.6107807,205.0875966,493.3506629,1097.710769,606.6174747,259.7722765,439.8589777,482.9674882,14994.76174,14994.54059,14997.62687,0,0,4919.518275
1352,2,9,57,846.9404677,377.7770388,206.7697887,464.4621466,963.7475075,560.4128703,240.0623019,454.3940906,354.8632368,14994.76114,14994.74528,14997.19379,0.09538304,0.6724504,4469.429449
1353,2,10,57,634.447448,126.1394669,159.6957141,302.4453943,571.2162326,400.8465313,129.1797545,396.498618,177.4905861,14994.52988,14994.76237,14995.82102,1.41405527,9.96908967,2897.959746
1354,2,11,57,503.8235539,72.51486126,134.753776,194.5441067,389.0909693,335.1598069,95.24261808,328.5039812,127.063394,14994.51366,14994.73586,14994.82667,2.51344627,17.7197962,2180.697067
1355,2,12,57,439.7179829,65.38337079,162.5509151,148.0454382,328.2409269,337.778832,95.39247272,255.3625811,156.4665117,14994.04095,14994.75991,14995.02833,8.76563498,61.7977266,1988.939031
1356,2,13,57,417.8225027,65.32609449,203.9699463,164.1323377,310.5394746,353.8195676,78.33607586,211.2961862,231.917296,14994.44457,14994.78634,14994.82739,14.0297722,98.909894,2037.159481
1357,2,14,57,407.9744451,68.8292098,242.6701652,250.5887117,312.0375564,371.5288959,74.00608534,220.9149882,357.418904,14994.7587,14994.77052,14995.19488,20.8562168,147.036328,2305.968962
1358,2,15,57,374.2275026,75.86399558,257.7512354,296.8401389,338.301535,343.2504806,41.49172786,199.0046896,463.0209758,14994.75794,14994.75831,307.9762229,32.7523663,230.904183,2389.752281
1359,2,16,57,380.9436346,94.14169115,269.163503,381.5853792,303.9693851,326.3824552,51.60847829,216.7645114,462.4543662,14994.7611,14994.75826,274.5676406,39.4944227,278.43568,2487.013404
1360,2,17,57,375.9912722,97.11547297,294.386224,348.8934402,287.4422915,325.9446968,34.37631497,252.4604575,470.9427106,14994.68949,14994.75876,242.4066626,55.465883,391.034475,2487.552881
1361,2,18,57,442.3133747,105.3358435,354.1276709,359.0280857,303.0824099,379.6730199,49.70674879,321.9690116,477.66078,14994.73135,14994.759,210.2456852,85.9591366,606.011913,2792.896945
1362,2,19,57,724.9276665,109.6317621,431.8962866,350.9109275,496.563328,534.7671348,103.7043682,416.1550058,525.1266413,14994.76247,14994.75881,289.2650486,89.0190817,627.584526,3693.683121
1363,2,20,57,757.9245476,108.836716,448.3454333,292.1182516,639.23167,499.7775711,147.019259,462.8126124,623.6528595,14994.76234,14994.75883,483.5872105,93.4092763,658.535398,3979.718921
1364,2,21,57,681.6123157,90.91624819,450.0439478,267.2416258,790.3231163,461.3219931,154.3108029,394.7663816,619.3704156,14994.76234,14994.75861,983.7315693,96.77529,682.265795,3909.906847
1365,2,22,57,596.0065036,97.23572739,450.0439478,179.274818,763.6117018,414.9311076,139.8157547,352.984208,637.7341061,14994.74745,14994.75808,934.0818298,102.505042,722.660549,3631.637875
1366,2,23,57,564.1231039,94.55642855,450.0439478,221.8164881,706.052217,383.3853073,171.7836185,360.5840223,664.4270147,14994.76236,14994.75899,1961.981421,106.830059,753.151916,3616.772148
1367,2,24,57,526.474499,123.5293361,450.0439478,313.9884208,765.3992065,337.3646209,200.6545063,342.1929668,721.0451154,14994.76201,14994.75887,2448.293353,108,761.4,3780.692619
1368,2,1,58,525.6497921,169.120615,450.0439478,342.7677974,962.4560956,318.9950461,287.079543,301.0375833,785.3321361,14994.76195,14994.7611,9142.607598,108,761.4,4142.482556
1369,2,2,58,519.9600273,204.3387064,450.0439478,404.9222902,1063.01905,282.0368443,362.4740961,333.5828437,803.4739881,14994.06104,14994.76235,14994.23386,108,761.4,4423.851793
1370,2,3,58,469.0325055,260.7993903,450.0439478,478.2797639,1100.050498,235.7213055,411.2215534,331.4550883,860.6215525,14280.55486,14994.33846,14994.76141,108,761.4,4597.225605
1371,2,4,58,434.7521186,283.6305914,450.0439478,495.2232272,1088.823899,218.693886,347.0444003,298.7719454,896.7481418,8295.840824,14994.22023,14994.77438,108,761.4,4513.732157
1372,2,5,58,406.1258544,296.6335573,450.0439478,542.883741,945.2263937,204.3266239,294.4507821,257.5884214,977.6589747,5422.676004,14994.13999,14994.82266,108,761.4,4374.938296
1373,2,6,58,346.4043282,316.4707161,450.0439478,532.3400228,803.5778706,190.8024382,237.4144792,211.7518897,1007.307054,4010.900617,14395.52987,14994.82722,108,761.4,4096.112747
1374,2,7,58,259.7149098,341.8016152,450.0439478,502.2763601,644.0278412,192.4096536,137.2917213,178.3881786,1034.320762,3326.039717,14235.06957,14995.84664,108,761.4,3740.27499
1375,2,8,58,244.2529901,388.0489895,450.0439478,458.4637192,443.6470065,222.182888,74.82694635,162.5935432,1056.655558,2983.766032,12762.4205,14997.62687,108,761.4,3500.715589
