Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW,onsh_WIND
1344,2,1,57,0.691846781,0.535046488,0.850091389,0.442974564,0.309811042,0.902483838,0.535329244,0.778713369,0.441997864,0,0,0,0,0,0.003284031,0,0.197947472,0.558282944
1345,2,2,57,0.678018412,0.484589222,0.804232311,0.336064698,0.408690661,0.889980515,0.597020506,0.893668681,0.395937011,0,0,0,0,0,0,0,0.155681908,0.553603174
1346,2,3,57,0.655206401,0.453426978,0.733401869,0.303294698,0.505369592,0.852119617,0.748581366,0.75486237,0.379006913,0,0,0,0,0,0,0,0.173879415,0.546869524
1347,2,4,57,0.65753213,0.479232375,0.578175726,0.423329928,0.635899195,0.851684636,0.680648829,0.787378902,0.321295379,0,0,0,0,0,0,0,0.195354119,0.556594264
1348,2,5,57,0.654467441,0.517285584,0.47288103,0.58030875,0.713473904,0.862650013,0.769317073,0.728994845,0.309584712,0,0,0,0,0,0.011119913,0.000385939,0.193646878,0.577722506
1349,2,6,57,0.588260478,0.566438589,0.382152136,0.517166128,0.816021429,0.864933204,0.605560416,0.717235758,0.276475349,0,0,0,0,0,0.022279104,0.007110953,0.196801663,0.560879852
1350,2,7,57,0.565369387,0.550006408,0.327594598,0.586498749,0.833571839,0.816272005,0.574173348,0.733758397,0.231075114,0,0,0,0,0,0.044742666,0.026262479,0.214418501,0.545019303
1351,2,8,57,0.524533376,0.521179304,0.45570571,0.663060733,0.737791315,0.798522485,0.580921509,0.729153419,0.201780949,0,0,0,0,0,0.071343735,0.043449339,0.217995524,0.523260324
1352,2,9,57,0.512668071,0.421054394,0.459443549,0.624234717,0.647752178,0.737700935,0.536844642,0.753248249,0.148259753,0,0,0,0.000883176,0.000883176,0.097621501,0.068194821,0.221800685,0.475387014
1353,2,10,57,0.384042281,0.140589743,0.35484471,0.406485042,0.383924789,0.527655371,0.288881088,0.65727503,0.074154513,0,0,0,0.013093104,0.013093104,0.089160905,0.093692347,0.253641337,0.308238992
1354,2,11,57,0.304973324,0.080822014,0.299423593,0.261466271,0.261515097,0.441188481,0.212988415,0.544560446,0.053086331,0,0,0,0.023272651,0.023272651,0.111548014,0.102438986,0.193422139,0.231947965
1355,2,12,57,0.266169086,0.072873554,0.361188981,0.198972301,0.22061668,0.444636041,0.213323531,0.423314081,0.065370779,0,0.006071328,0.012127092,0.081163287,0.081163287,0.153086126,0.140362173,0.296079755,0.211551787
1356,2,13,57,0.252915364,0.072809717,0.453222285,0.220593011,0.208719213,0.465751305,0.175180785,0.350265299,0.096893669,0.035445735,0.047949247,0.053574379,0.129905298,0.129905298,0.18290782,0.182784422,0.373122632,0.216680714
1357,2,14,57,0.24695416,0.076714142,0.539214373,0.336789929,0.209726101,0.489063025,0.165497748,0.36621037,0.149327496,0.100600883,0.109404952,0.105894484,0.193113119,0.193113118,0.278033436,0.245604784,0.405480325,0.245272402
1358,2,15,57,0.226526538,0.084554818,0.57272459,0.398951608,0.227378597,0.45183866,0.092786796,0.329889708,0.193447414,0.160142854,0.172839612,0.187701285,0.303262651,0.303262652,0.265360683,0.283045799,0.608339368,0.254183943
1359,2,16,57,0.230591931,0.104926368,0.598082708,0.512848772,0.204303336,0.429634391,0.115410603,0.359330132,0.193210688,0.308262944,0.329942763,0.341466308,0.365689099,0.365689099,0.361913919,0.428113581,0.777132157,0.264529039
1360,2,17,57,0.227594179,0.108240821,0.654127726,0.468910975,0.193195177,0.429058147,0.076874796,0.418503236,0.196757068,0.456806689,0.473203957,0.428888947,0.513572991,0.513572991,0.609428584,0.525443375,0.730682494,0.26458642
1361,2,18,57,0.267740122,0.1174029,0.786873532,0.482531886,0.203707184,0.499783564,0.111157818,0.533727439,0.199563837,0.560744882,0.550996185,0.598479688,0.795917931,0.795917931,0.705463111,0.757313788,0.820657733,0.297064078
1362,2,19,57,0.43881156,0.12219095,0.959675802,0.471622467,0.333749218,0.703942104,0.231911191,0.689859388,0.219394792,0.705372331,0.703079106,0.713815569,0.824250756,0.824250757,0.824319601,0.819349525,0.85838133,0.392875424
1363,2,20,57,0.458785157,0.121304825,0.996225892,0.392605416,0.429639198,0.657883501,0.328775076,0.767203617,0.260558461,0.787351553,0.788554194,0.783650519,0.864900706,0.864900707,0.840870975,0.8827405,0.949112412,0.423299375
1364,2,21,57,0.412592011,0.101331425,1,0.35917136,0.531190499,0.607262402,0.345080952,0.654403505,0.258769282,0.839787005,0.850852075,0.897646663,0.8960675,0.896067501,0.908876119,0.8818956,0.990133286,0.415873874
1365,2,22,57,0.360773296,0.108374851,1,0.240944426,0.513237273,0.546195639,0.31266608,0.585141273,0.266441523,0.916895747,0.937676906,0.936446669,0.949120759,0.949120763,0.963507951,0.960040924,1,0.386276035
1366,2,23,57,0.341473709,0.105388617,1,0.29812021,0.4745505,0.504670243,0.384154923,0.597739471,0.277593661,0.979009507,0.985556719,0.988081223,0.989167213,0.989167213,1,0.994432806,0.966345905,0.384694854
1367,2,24,57,0.318684342,0.137680601,1,0.42199881,0.514438687,0.444090793,0.448718086,0.567252652,0.301248368,1,0.998109343,1,1,1,1,1,0.981133698,0.402130114
